mol,smiles
mol1,C12=C(C3C=CC(=CC=3)Cl)C=NN1C(=C(C1C=CC=CC=1)C(C)=N2)N
mol2,C(COC1=CC=C(C=C1C)Br)(=O)N/N=C(\C)/CC(NCC)=O
mol3,C(=O)(NC1=CC=C(C=C1)OCCCC)C1CC1
mol4,N(=O)(=O)C1C=C(C=C(C=1)N(=O)=O)C(=O)OC1=CC=C(C=C1)/C=N/C1C=CC(=CC=1)N(C)C
mol5,N1(C2C=CC(=CC=2)C(C)C)CC(CC1=O)C(=O)NC1C=C(Cl)C=C(Cl)C=1
mol6,C(=O)(OC1C=CC(=CC=1)/C=N/C1=CC=C(C=C1)N(C)C)C1C=CC=CC=1Cl
mol7,C1(N)N(C2=CC=CC=C2)N=CC=1C(O)=O
mol8,C(=O)(N/N=C/C1C=CC(=C(OCC)C=1)OCCC)C(=O)NC1=CC=CC(OC)=C1
mol9,C1(C(OCC)=O)C(C2C=CC(=CC=2)C)C2C(=O)CC(CC=2OC=1N)(C)C
mol10,C(=O)(N/N=C\C1=CC=C(C=C1OCC1C=CC=CC=1)OCC1C=CC=CC=1)C1=CC=C(C=C1)OCCCCCCCC
mol11,S(=O)(=O)(C1=CC=C(C=C1)F)N1CCC(CC1)C(=O)NC1C=CC(=C(Cl)C=1)Cl
mol12,C(=O)(NC1=CC=CC(Cl)=C1)CC(=O)N/N=C/C1C=CC(=C(OC)C=1)O
mol13,C1(NC(=O)C2C=CC(=CC=2)Cl)=C(C2C=CC=CC=2)N=C2SC=CN12
mol14,N(=O)(=O)C1=CC(=CC(=C1)N(=O)=O)C(=O)OC1=CC=C(C=C1)/C=N/C1C=CC(=CC=1)C1C=CC(=CC=1)/N=C/C1C=CC(=CC=1)OC(=O)C1C=C(C=C(C=1)N(=O)=O)N(=O)=O
mol15,N12N=NN=C1NC(C1C=CC(=CC=1)Cl)=CC2C1=CC=CO1
mol16,N(=O)(=O)C1=CC=C(C=C1)C(=O)N/N=C\C1=CC=C(C=C1OCC1=CC=CC=C1)OCC1C=CC=CC=1
mol17,C1(C(OCC=C)=O)=C(C)NC2=C(C(=O)CC(C)(C)C2)C1C1C=CC=C(O)C=1
mol18,C(COC1C=C(C)C=CC=1C)(=O)NN=CC1C=CC2=C(OCO2)C=1
mol19,C(N(CC)CC)(=S)OC1=CC=CC(=C1)C(=O)NC1C=CC(=CC=1)I
mol20,C1(C(OCCOC)=O)=C(C)NC2=C(C(=O)CC(C3=CC=CC=C3)C2)C1C1C=CC(=C(OC)C=1)OCCC
mol21,C(=O)(NC1=CC=CC(Cl)=C1)CC(=O)N/N=C/C1C=CC(=CC=1OC)OC
mol22,C1(C(=O)OC2CCCCCCC2)=C(C)NC(NC1C1C=CC2=C(OCO2)C=1)=O
mol23,C(=O)(NC1=CC=CC(Cl)=C1)CC(=O)N/N=C/C1C=C(OC)C=CC=1OC
mol24,N1(C2=CC=C(C=C2)OC)C(=O)CC(N(CCC2C=CC=CC=2)C(CCC(O)=O)=O)C1=O
mol25,N(=C1/CCCCCCCCCCC/1)\NC(CC1C=CC(=CC=1)C)=O
mol26,C1(SC(CC)C(=O)NC2=CC=C(C=C2)Cl)SC2=C(C=CC(N)=C2)N=1
mol27,C1(C=C(Cl)C=CC=1OC)C(=O)NC1C=CC(=CC=1)C#N
mol28,C(=O)(N/N=C/C1C=CC(=CC=1)OCC1=CC=C(C=C1)Cl)C1=CC=C(C=C1)N(C)C
mol29,C1(C=C(OC)C(=CC=1N(=O)=O)OC)C(=O)NC1=NN=C(CC(C)(C)C)S1
mol30,C1(SC2=C(C=CC=C2)N=1)NC(=O)C1=CC=C2C(OCCO2)=C1
mol31,C(=O)(NC1=CC=CC(Cl)=C1)CC(=O)N/N=C/C1C=CC=C(OC)C=1OC
mol32,C1(C(C)=NNC(=O)C2=CC=CN=C2)=CC2C=C(Cl)C=CC=2OC1=O
mol33,C12=C(O)CC(CC1=NC1=C(C=CC=C1)N(C(CCC(O)=O)=O)C2C1C=CC(=CC=1)C(OC)=O)C1C=CC=CC=1
mol34,C1(=CC=C(C=C1N(=O)=O)C(=O)OC1C=CC(=CC=1)/C=N/C1C(=CC=CC=1Cl)Cl)C(=O)OC1C=CC(=CC=1)/C=N/C1C(=CC=CC=1Cl)Cl
mol35,N(=CC1C=CC(=C(OCC)C=1)O)NC(CCCC1C=CC(=CC=1C)OC)=O
mol36,C(=O)(N/N=C/C1C=CC=C(OC)C=1)C(=O)NCC1C=CC=CC=1
mol37,N(=NC1C=CC=C2C=CC=CC=12)C1C=C(CC)C=CC=1O
mol38,C(COC1=CC=C(C=C1C)Br)(=O)N/N=C(\C)/CC(=O)NCC1=CC=C(C=C1)Cl
mol39,S(=O)(=O)(C1=CC=C(C=C1)NC(=O)C1C=CC=CC=1I)NC1C=C(ON=1)C
mol40,C(=S)(OC1=CC=CC(=C1)C(=O)NC1=CC=C(C=C1)I)N(CC(C)C)CC(C)C
mol41,C(/NC1C=CC=C(Cl)C=1)(\NC1=NC(C)=CC(C)=N1)=N\C(=O)NC1=CC=C(C(Cl)=C1)Cl
mol42,C(=O)(C1=CC=C(C=C1)NC(C)=O)NC(C)CCC1=CC=CC=C1
mol43,N(=O)(=O)C1C=CC(=CC=1)OCC(=O)C1=CC=C(C=C1)Br
mol44,C1(C2C=C(OC)C(=C(OC)C=2)OC)=NC2C=CC(=CC=2C(C2=CC=CC=C2)N1CC(OCC)=O)Br
mol45,C1(=CC(=CC=C1O)CC1=CC=C(C(/C=N/C2=CC=CC=C2CC)=C1)O)/C=N/C1C=CC=CC=1CC
mol46,C1(C=CC=CC=1NC(=O)C1C=CC(=C(NC(COC2=CC=CC=C2OC)=O)C=1)C)C(O)=O
